nid	v	maxdeg	max_ratio	argmax_alpha
v21CCCACCACACCACACACAACCACACACAACACACAAAE	21	6	2.6207280078540894e-06	21.872676300000002
v21CCCACCACACCACACCAACACCAACACCAACACDEABE	21	6	4.145723907320748e-07	2.1000000000000014
v21CCCACCACCACACACCACACCACACACACACAAAABAE	21	6	1.335674831118588e-06	21.872676300000002
v21CCCACCACCACCACACACACCACACCAAACACAAAABE	21	6	4.055749345092938e-07	21.872676300000002
v21CCCACCCACCACCACACACCACAACAACACAACAAAAE	21	6	6.537528475901999e-07	2.1000000000000014
v21CCCACCCACCACCACACCAACAACACACAACCAAABAE	21	6	6.537528475901999e-07	2.1000000000000014
v21CCCCACCACACACACACACACACACACACACAACAAAE	21	6	4.3280780799859314e-07	21.872676300000002
v21CCCCACCACACACACACCACAACACACACACAACAAAE	21	6	9.58048317514404e-07	21.872676300000002
v21CCCCACCACACACACACCACACACACAACACAACAAAE	21	6	1.8120713708481678e-07	21.872676300000002
v21CCCCACCACACACACACCACACACACACACAAACAAAE	21	6	1.6812670406894813e-07	55.27909663310495
v21CCCCACCACACACCACACACACACACAACACAACAAAE	21	6	1.661496427889821e-07	43.466993469328585
v21CCCCACCACACACCACACACACACACACAACAACAAAE	21	6	1.156268715952425e-07	21.872676300000002
v21CCCCACCACACACCACACACACACACACAACACAAABE	21	6	2.5426078213256953e-07	21.872676300000002
v21CCCCACCACACACCACACCACACACACAAACACAAABE	21	6	4.641433749922017e-07	21.872676300000002
v21CCCCACCACACACCACACCACACACACAACACAAABAE	21	6	1.3101689217826562e-07	55.27909663310495
v21CCCCACCACACCACACACACACACACAACACAACAAAE	21	6	1.8404408780302061e-07	49.112965600533286
v21CCCCACCACACCACACACACACACACACACAACAAAAE	21	6	1.6279794958013647e-07	43.466993469328585
v21CCCCACCACACCACACACACACACCAACACAACAADEE	21	6	3.5964003773129647e-07	21.872676300000002
v21CCCCACCACACCACACACCACACACAACAACCAAABAE	21	6	2.060958253178691e-07	43.466993469328585
v21CCCCACCACACCACACACCACACACACAACACAAAABE	21	6	1.9553892017483243e-07	55.27909663310495
v21CCCCACCACACCACACACCACACACCAAACACAAAABE	21	6	2.4322811899310155e-07	21.872676300000002
v21CCCCACCACACCACCACACCACACACAACAAACAAAAE	21	6	2.0326304274841981e-07	43.466993469328585
v21CCCCACCACCACACCACACACACAACACAACAACAAAE	21	6	1.0796029008851105e-07	43.466993469328585
v22CCCACACACACACACACACACACACACACACACACACAAE	22	6	1.3721433706290782e-06	2.1000000000000014
v22CCCACACACCAACACACCAACACACCAACACACCAACAAE	22	6	1.907454721132118e-06	2.1000000000000014
v22CCCACACACCACACACACACACACACACACACAACACAAE	22	6	2.0365033858831143e-07	21.872676300000002
v22CCCACACACCACACACACACACACACACACACACACADEE	22	6	4.5686130406403124e-07	21.872676300000002
v22CCCACACACCACACACACCACACACACACACACACAABAE	22	6	2.0267128426270039e-07	21.872676300000002
v22CCCACACCACACAACCACACAACCACACAACCACACAABE	22	6	3.118652643865408e-07	21.872676300000002
v22CCCACCACACCACACAACACCACACAACACCACACAAABE	22	6	1.5453757332186833e-07	21.872676300000002
v22CCCACCACACCACACACAACCACACACAACACACACAABE	22	6	9.904215121693136e-05	2.1000000000000014
v22CCCACCACACCACACACAACCACACACAACCACACADEAE	22	6	2.8867771016716326e-06	21.872676300000002
v22CCCACCACACCACACACACACCACAACACAACACAACAAE	22	6	7.226485175710274e-07	21.872676300000002
v22CCCACCACACCACACACACACCACACAACAACACACAAAE	22	6	8.746619794237727e-07	21.872676300000002
v22CCCACCACACCACACACACACCACACACADECACACAAAE	22	6	1.4572860235365053e-07	21.872676300000002
v22CCCACCACACCACACCACACACCACACACACACAAABABE	22	6	5.620209430223297e-07	21.872676300000002
v22CCCACCACCACCACACACACCACACCAAACACACAAADEE	22	6	3.890571106365387e-07	21.872676300000002
v22CCCACCACCACCACACCACACCACACACACAADECAAAAE	22	6	4.704865716687949e-07	43.466993469328585
v22CCCACCCACCACCACACCAACACACAACAACCAABACAAE	22	6	2.419220551462969e-07	49.112965600533286
v22CCCCACCACACACAACCACACACAACCACACACAACAAAE	22	6	2.1982686844010985e-07	21.872676300000002
v22CCCCACCACACACACACACACACACACACACACAACAAAE	22	6	1.8268709247532147e-07	21.872676300000002
v22CCCCACCACACACACACCAACACACACACCAACACAAABE	22	6	2.293094436804772e-07	21.872676300000002
