nid	v	max_rel	argmax_alpha	hero_abs	nrungs
v14CCCACACCAACACACCAACACAAE	14	1.5348151360998518e-08	55.27909663310495	5.551115123125783e-16	10
v14CCCACACCACACAACCACACAAAE	14	2.707738203663994e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACACAACCACACAABE	14	2.8454381610507854e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACACCACACACACAACACAAE	14	2.9153046263679865e-08	55.27909663310495	5.551115123125783e-16	10
v14CCCACACCACACACACACAACAAE	14	3.166893625767803e-08	43.466993469328585	6.661338147750939e-16	10
v14CCCACACCACACACACACACAAAE	14	3.441327899047114e-08	43.466993469328585	6.661338147750939e-16	10
v14CCCACACCACACACACACACAABE	14	3.3444415389578704e-08	43.466993469328585	5.551115123125783e-16	10
v14CCCACACCACACACACACACADEE	14	2.3418074662186994e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACACACACCAACADEE	14	3.557991786133275e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACACCACCACACAACAACAAE	14	4.106016407629247e-08	43.466993469328585	3.3306690738754696e-16	10
v14CCCACACCACCACACAACACAAAE	14	4.756796006805391e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACACCACCACACAACACAABE	14	3.066546460415537e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACACCACCACACAACACDEAE	14	3.917123670324885e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACCACACACAAACAAE	14	4.8875194030024825e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACCACACACAABCAAE	14	4.7445023245823907e-08	43.466993469328585	9.992007221626409e-16	10
v14CCCACACCACCACACACAACAAAE	14	4.340446447947576e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACCACACACACAAABE	14	4.34493807207201e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACCACCACACACACAABAE	14	4.683751603621918e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACAACCACACAACAAE	14	4.0891379523466603e-08	55.27909663310495	3.3306690738754696e-16	10
v14CCCACCACACACACACACAACAAE	14	3.2453353151117444e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACCACACACACACACACAAAE	14	3.6897643708878346e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACACACACACACAABE	14	2.700759532214554e-08	55.27909663310495	2.220446049250313e-16	10
v14CCCACCACACACACCAACACAAAE	14	6.726874747372614e-08	55.27909663310495	9.992007221626409e-16	10
v14CCCACCACACACACCAACACAABE	14	2.8364536947996516e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACACACCACACADEAE	14	4.2844873076176406e-08	43.466993469328585	6.661338147750939e-16	10
v14CCCACCACACACACCACACADEBE	14	6.079355977989134e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACCACAACACAACAAE	14	3.539385505608691e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACCACACAACAACAAE	14	3.451687557928679e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACCACACAACACAAAE	14	3.362956347768068e-08	55.27909663310495	5.551115123125783e-16	10
v14CCCACCACACCACACACAAACAAE	14	4.316308801219758e-08	21.872676300000002	4.440892098500626e-16	10
v14CCCACCACACCACACACAABCAAE	14	3.267821349064837e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACACCACACACAACAAAE	14	3.415141313363579e-08	43.466993469328585	5.551115123125783e-16	10
v14CCCACCACACCACACACAACDEAE	14	4.763282103854581e-08	21.872676300000002	2.220446049250313e-16	10
v14CCCACCACACCACACACACAAAAE	14	3.157755540395707e-08	55.27909663310495	3.3306690738754696e-16	10
v14CCCACCACACCACACACACAAABE	14	4.044612279108071e-08	55.27909663310495	5.551115123125783e-16	10
v14CCCACCACACCACACACACAADEE	14	3.329740717828447e-08	55.27909663310495	5.551115123125783e-16	10
v14CCCACCACACCACACCAACAAAAE	14	5.3192589728433654e-08	55.27909663310495	8.881784197001252e-16	10
v14CCCACCACACCACACCAACAADEE	14	3.185594610913244e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACCACACAACACCAABAE	14	3.987508811751367e-08	21.872676300000002	3.3306690738754696e-16	10
v14CCCACCACCACACACAACAACAAE	14	3.1660005376430976e-08	55.27909663310495	4.440892098500626e-16	10
v14CCCACCACCACACACAACACAABE	14	2.8632369246183945e-08	21.872676300000002	4.440892098500626e-16	10
v14CCCACCACCACACACAACCAAABE	14	3.3743789693512014e-08	43.466993469328585	5.551115123125783e-16	10
